Area,Measure,ANZSIC06,Year,Value,Flags
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2000",405927,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2001",403086,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2002",407361,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2003",421368,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2004",456375,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2005",475995,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2006",493050,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2007",503826,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2008",514302,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2009",517962,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2010",510717,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2011",510405,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2012",509469,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2013",512361,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2000",1598800,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2001",1625200,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2002",1673500,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2003",1727800,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2004",1798900,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2005",1860300,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2006",1894400,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2007",1934100,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2008",1981500,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2009",1931700,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2010",1906700,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2011",1916900,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2012",1936500,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2014",529827,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2015",542040,
"Total New Zealand (Territorial Authority)","Geographic Units","Total Industry","2016",550209,
"Far North District","Geographic Units","Total Industry","2000",6651,
"Far North District","Employee Count","Total Industry","2000",14900,
"Far North District","Employee Count","Total Industry","2001",15500,
"Far North District","Geographic Units","Total Industry","2001",6594,
"Far North District","Geographic Units","Total Industry","2002",6705,
"Far North District","Employee Count","Total Industry","2002",16200,
"Far North District","Employee Count","Total Industry","2003",17200,
"Far North District","Geographic Units","Total Industry","2003",6771,
"Far North District","Geographic Units","Total Industry","2004",7194,
"Far North District","Employee Count","Total Industry","2004",18000,
"Far North District","Employee Count","Total Industry","2005",18500,
"Far North District","Geographic Units","Total Industry","2005",7455,
"Far North District","Geographic Units","Total Industry","2006",7746,
"Far North District","Employee Count","Total Industry","2006",18800,
"Far North District","Employee Count","Total Industry","2007",19200,
"Far North District","Geographic Units","Total Industry","2007",7824,
"Far North District","Geographic Units","Total Industry","2008",7938,
"Far North District","Employee Count","Total Industry","2008",19500,
"Far North District","Employee Count","Total Industry","2009",18500,
"Far North District","Geographic Units","Total Industry","2009",7965,
"Far North District","Geographic Units","Total Industry","2010",7722,
"Far North District","Employee Count","Total Industry","2010",18400,
"Far North District","Geographic Units","Total Industry","2011",7626,
"Far North District","Geographic Units","Total Industry","2012",7482,
"Far North District","Geographic Units","Total Industry","2013",7308,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2013",1950400,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2014",2003700,
"Far North District","Geographic Units","Total Industry","2014",7404,
"Far North District","Geographic Units","Total Industry","2015",7458,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2015",2053400,
"Total New Zealand (Territorial Authority)","Employee Count","Total Industry","2016",2102900,
"Far North District","Geographic Units","Total Industry","2016",7467,
"Whangarei District","Employee Count","Total Industry","2000",23500,
"Whangarei District","Geographic Units","Total Industry","2000",7752,
"Kaipara District","Geographic Units","Total Industry","2000",3033,
"Kaipara District","Employee Count","Total Industry","2000",4450,
"Kaipara District","Employee Count","Total Industry","2001",4650,
"Kaipara District","Geographic Units","Total Industry","2001",3072,
"Whangarei District","Geographic Units","Total Industry","2001",7710,
"Whangarei District","Employee Count","Total Industry","2001",23600,
"Whangarei District","Employee Count","Total Industry","2002",24900,
"Whangarei District","Geographic Units","Total Industry","2002",7845,
"Kaipara District","Geographic Units","Total Industry","2002",3108,
"Kaipara District","Employee Count","Total Industry","2002",4900,
"Kaipara District","Employee Count","Total Industry","2003",5100,
"Kaipara District","Geographic Units","Total Industry","2003",3153,
"Whangarei District","Geographic Units","Total Industry","2003",8070,
"Whangarei District","Employee Count","Total Industry","2003",26300,
"Whangarei District","Employee Count","Total Industry","2004",27200,
"Whangarei District","Geographic Units","Total Industry","2004",8646,
"Kaipara District","Geographic Units","Total Industry","2004",3252,
"Kaipara District","Employee Count","Total Industry","2004",5100,
"Kaipara District","Employee Count","Total Industry","2005",5300,
"Kaipara District","Geographic Units","Total Industry","2005",3270,
"Whangarei District","Geographic Units","Total Industry","2005",8928,
"Whangarei District","Employee Count","Total Industry","2005",28400,
"Whangarei District","Employee Count","Total Industry","2006",28600,
"Whangarei District","Geographic Units","Total Industry","2006",9282,
"Kaipara District","Geographic Units","Total Industry","2006",3402,
"Kaipara District","Employee Count","Total Industry","2006",5500,
"Kaipara District","Geographic Units","Total Industry","2007",3438,
"Whangarei District","Geographic Units","Total Industry","2007",9528,
"Whangarei District","Employee Count","Total Industry","2007",29800,
"Whangarei District","Employee Count","Total Industry","2008",31000,
"Whangarei District","Geographic Units","Total Industry","2008",9639,
"Kaipara District","Geographic Units","Total Industry","2008",3471,
"Kaipara District","Geographic Units","Total Industry","2009",3498,
"Whangarei District","Geographic Units","Total Industry","2009",9606,
"Whangarei District","Employee Count","Total Industry","2009",30100,
"Whangarei District","Employee Count","Total Industry","2010",29300,
"Whangarei District","Geographic Units","Total Industry","2010",9414,
"Kaipara District","Geographic Units","Total Industry","2010",3423,
"Kaipara District","Geographic Units","Total Industry","2011",3357,
"Far North District","Employee Count","Total Industry","2011",18000,
"Whangarei District","Geographic Units","Total Industry","2011",9270,
"Whangarei District","Employee Count","Total Industry","2011",29500,
"Whangarei District","Employee Count","Total Industry","2012",29400,
"Whangarei District","Geographic Units","Total Industry","2012",9132,
"Far North District","Employee Count","Total Industry","2012",17600,
"Kaipara District","Geographic Units","Total Industry","2012",3366,
"Kaipara District","Geographic Units","Total Industry","2013",3348,
"Far North District","Employee Count","Total Industry","2013",17400,
"Whangarei District","Geographic Units","Total Industry","2013",9090,
"Whangarei District","Employee Count","Total Industry","2013",30000,
"Whangarei District","Employee Count","Total Industry","2014",30300,
"Whangarei District","Geographic Units","Total Industry","2014",9231,
"Far North District","Employee Count","Total Industry","2014",17600,
"Kaipara District","Geographic Units","Total Industry","2014",3414,
"Kaipara District","Geographic Units","Total Industry","2015",3474,
"Far North District","Employee Count","Total Industry","2015",17800,
"Whangarei District","Geographic Units","Total Industry","2015",9351,
"Whangarei District","Employee Count","Total Industry","2015",32000,
"Whangarei District","Employee Count","Total Industry","2016",32300,
"Whangarei District","Geographic Units","Total Industry","2016",9492,
"Far North District","Employee Count","Total Industry","2016",18000,
"Kaipara District","Geographic Units","Total Industry","2016",3453,
"Auckland","Employee Count","Total Industry","2000",522100,
"Auckland","Geographic Units","Total Industry","2000",123069,
"Thames-Coromandel District","Geographic Units","Total Industry","2000",3315,
"Thames-Coromandel District","Employee Count","Total Industry","2000",7900,
"Hauraki District","Employee Count","Total Industry","2000",4400,
"Hauraki District","Geographic Units","Total Industry","2000",2463,
"Waikato District","Geographic Units","Total Industry","2000",6807,
"Waikato District","Geographic Units","Total Industry","2001",6789,
"Hauraki District","Geographic Units","Total Industry","2001",2475,
"Hauraki District","Employee Count","Total Industry","2001",4550,
"Thames-Coromandel District","Employee Count","Total Industry","2001",8200,
"Thames-Coromandel District","Geographic Units","Total Industry","2001",3348,
"Auckland","Geographic Units","Total Industry","2001",120846,
"Auckland","Employee Count","Total Industry","2001",523200,
"Auckland","Employee Count","Total Industry","2002",535500,
"Auckland","Geographic Units","Total Industry","2002",121725,
"Thames-Coromandel District","Geographic Units","Total Industry","2002",3381,
"Thames-Coromandel District","Employee Count","Total Industry","2002",8500,
"Hauraki District","Employee Count","Total Industry","2002",4650,
"Hauraki District","Geographic Units","Total Industry","2002",2475,
"Waikato District","Geographic Units","Total Industry","2002",6918,
"Waikato District","Geographic Units","Total Industry","2003",7014,
"Hauraki District","Geographic Units","Total Industry","2003",2457,
"Hauraki District","Employee Count","Total Industry","2003",4750,
"Thames-Coromandel District","Employee Count","Total Industry","2003",9200,
"Thames-Coromandel District","Geographic Units","Total Industry","2003",3456,
"Auckland","Geographic Units","Total Industry","2003",127830,
"Auckland","Employee Count","Total Industry","2003",557500,
"Auckland","Employee Count","Total Industry","2004",581900,
"Auckland","Geographic Units","Total Industry","2004",142188,
"Thames-Coromandel District","Geographic Units","Total Industry","2004",3789,
"Thames-Coromandel District","Employee Count","Total Industry","2004",9600,
"Hauraki District","Employee Count","Total Industry","2004",4850,
"Hauraki District","Geographic Units","Total Industry","2004",2532,
"Waikato District","Geographic Units","Total Industry","2004",7404,
"Waikato District","Geographic Units","Total Industry","2005",7671,
"Hauraki District","Geographic Units","Total Industry","2005",2589,
"Hauraki District","Employee Count","Total Industry","2005",4800,
"Thames-Coromandel District","Employee Count","Total Industry","2005",9900,
"Thames-Coromandel District","Geographic Units","Total Industry","2005",3990,
"Auckland","Geographic Units","Total Industry","2005",149421,
"Auckland","Employee Count","Total Industry","2005",603100,
"Auckland","Employee Count","Total Industry","2006",617100,
"Auckland","Geographic Units","Total Industry","2006",154458,
"Thames-Coromandel District","Geographic Units","Total Industry","2006",4116,
"Thames-Coromandel District","Employee Count","Total Industry","2006",10100,
"Hauraki District","Employee Count","Total Industry","2006",4850,
"Hauraki District","Geographic Units","Total Industry","2006",2640,
"Waikato District","Geographic Units","Total Industry","2006",7905,
"Waikato District","Geographic Units","Total Industry","2007",8154,
"Kaipara District","Employee Count","Total Industry","2007",5500,
"Hauraki District","Geographic Units","Total Industry","2007",2694,
"Hauraki District","Employee Count","Total Industry","2007",5100,
"Thames-Coromandel District","Employee Count","Total Industry","2007",10300,
"Thames-Coromandel District","Geographic Units","Total Industry","2007",4248,
"Auckland","Geographic Units","Total Industry","2007",157563,
